일시,강수량(mm)
1998년 1월,114.4
1998년 2월,85.5
1998년 3월,16.3
1998년 4월,120.3
1998년 5월,49.8
1998년 6월,215.7
1998년 7월,501.1
1998년 8월,268.2
1998년 9월,250.9
1998년 10월,125
1998년 11월,63.2
1998년 12월,35.3
1999년 1월,2.8
1999년 2월,8.4
1999년 3월,100.8
1999년 4월,150.2
1999년 5월,211
1999년 6월,100.1
1999년 7월,110.7
1999년 8월,462
1999년 9월,477.7
1999년 10월,91
1999년 11월,108.4
1999년 12월,2.4
2000년 1월,66.3
2000년 2월,3.3
2000년 3월,15.9
2000년 4월,37.1
2000년 5월,47.6
2000년 6월,114.3
2000년 7월,86.4
2000년 8월,214.1
2000년 9월,407.7
2000년 10월,13.8
2000년 11월,97.1
2000년 12월,5.6
2001년 1월,101
2001년 2월,97.6
2001년 3월,25.5
2001년 4월,18.9
2001년 5월,25.4
2001년 6월,121.3
2001년 7월,122.9
2001년 8월,81.2
2001년 9월,273.2
2001년 10월,195.1
2001년 11월,34.4
2001년 12월,21.1
2002년 1월,78
2002년 2월,0
2002년 3월,25.6
2002년 4월,50.5
2002년 5월,78.8
2002년 6월,33.3
2002년 7월,224.7
2002년 8월,1137
2002년 9월,128.5
2002년 10월,180
2002년 11월,0.4
2002년 12월,129.4
2003년 1월,60.2
2003년 2월,90.7
2003년 3월,81
2003년 4월,200
2003년 5월,149.8
2003년 6월,157.3
2003년 7월,223.1
2003년 8월,284.3
2003년 9월,532
2003년 10월,58.5
2003년 11월,251.5
2003년 12월,7
2004년 1월,12.1
2004년 2월,12.9
2004년 3월,7.6
2004년 4월,163.6
2004년 5월,54.1
2004년 6월,224.5
2004년 7월,404.1
2004년 8월,503.4
2004년 9월,181.4
2004년 10월,18.9
2004년 11월,9.9
2004년 12월,11.8
2005년 1월,32.5
2005년 2월,80.3
2005년 3월,80.8
2005년 4월,39.6
2005년 5월,58.7
2005년 6월,193.3
2005년 7월,218.7
2005년 8월,201
2005년 9월,557.5
2005년 10월,182.4
2005년 11월,8.5
2005년 12월,0.1
2006년 1월,42.1
2006년 2월,9.7
2006년 3월,9.1
2006년 4월,103.9
2006년 5월,98.6
2006년 6월,77.1
2006년 7월,757.3
2006년 8월,204.1
2006년 9월,88.3
2006년 10월,341.2
2006년 11월,96.7
2006년 12월,24.6
2007년 1월,17
2007년 2월,19.1
2007년 3월,96
2007년 4월,44.5
2007년 5월,111.5
2007년 6월,44.4
2007년 7월,311.2
2007년 8월,158.9
2007년 9월,503.3
2007년 10월,73.6
2007년 11월,60.6
2007년 12월,1.5
2008년 1월,82.6
2008년 2월,0
2008년 3월,117.3
2008년 4월,34.2
2008년 5월,69.3
2008년 6월,106.7
2008년 7월,322.7
2008년 8월,330.6
2008년 9월,131.7
2008년 10월,43.9
2008년 11월,49.1
2008년 12월,54.6
2009년 1월,24
2009년 2월,20.6
2009년 3월,70.9
2009년 4월,56
2009년 5월,43
2009년 6월,102.6
2009년 7월,405.1
2009년 8월,170.2
2009년 9월,50.3
2009년 10월,31.2
2009년 11월,191.6
2009년 12월,17.5
2010년 1월,35.6
2010년 2월,94.7
2010년 3월,172.5
2010년 4월,28.4
2010년 5월,110
2010년 6월,34.7
2010년 7월,88.5
2010년 8월,175.4
2010년 9월,271
2010년 10월,53.5
2010년 11월,12.5
2010년 12월,26
2011년 1월,13
2011년 2월,144
2011년 3월,26.5
2011년 4월,133
2011년 5월,88
2011년 6월,343
2011년 7월,318.2
2011년 8월,121.2
2011년 9월,320.9
2011년 10월,64.8
2011년 11월,132.9
2011년 12월,105
2012년 1월,39
2012년 2월,23.1
2012년 3월,126.7
2012년 4월,126.5
2012년 5월,52.7
2012년 6월,26.8
2012년 7월,261.2
2012년 8월,295.3
2012년 9월,290.7
2012년 10월,10.6
2012년 11월,25.6
2012년 12월,43.2
2013년 1월,54.6
2013년 2월,13.6
2013년 3월,81.8
2013년 4월,58
2013년 5월,78.7
2013년 6월,36
2013년 7월,241.9
2013년 8월,54.6
2013년 9월,135.5
2013년 10월,130.8
2013년 11월,9.8
2013년 12월,26.4
2014년 1월,46
2014년 2월,168.9
2014년 3월,55.3
2014년 4월,189.3
2014년 5월,9.9
2014년 6월,55.7
2014년 7월,109.5
2014년 8월,336.9
2014년 9월,212.1
2014년 10월,120.2
2014년 11월,84.5
2014년 12월,0.4
2015년 1월,20.4
2015년 2월,13.1
2015년 3월,22.1
2015년 4월,76.8
2015년 5월,3.1
2015년 6월,175
2015년 7월,62.9
2015년 8월,224.8
2015년 9월,70
2015년 10월,21
2015년 11월,348.9
2015년 12월,9.3
2016년 1월,27.4
2016년 2월,48.5
2016년 3월,29.3
2016년 4월,73
2016년 5월,33.6
2016년 6월,40.7
2016년 7월,424.2
2016년 8월,282.6
2016년 9월,104.8
2016년 10월,78.1
2016년 11월,33.5
2016년 12월,82.5
2017년 1월,48.5
2017년 2월,3.5
2017년 3월,48.5
2017년 4월,39.8
2017년 5월,25
2017년 6월,27.2
2017년 7월,238.1
2017년 8월,444.1
2017년 9월,45.7
2017년 10월,114.5
2017년 11월,41.5
2017년 12월,5.5
2018년 1월,2.5
2018년 2월,52
2018년 3월,94
2018년 4월,151.4
2018년 5월,162.9
2018년 6월,38.6
2018년 7월,195.5
2018년 8월,419.1
2018년 9월,161.2
2018년 10월,248
2018년 11월,51.3
2018년 12월,22.9
2019년 1월,16.6
2019년 2월,17.7
2019년 3월,49.6
2019년 4월,85.5
2019년 5월,4.5
2019년 6월,132.2
2019년 7월,220.8
2019년 8월,264.5
2019년 9월,233.3
2019년 10월,536
2019년 11월,104.7
2019년 12월,5.1
2020년 1월,107.5
2020년 2월,77.5
2020년 3월,47.1
2020년 4월,65.6
2020년 5월,95.5
2020년 6월,270.4
2020년 7월,375.9
2020년 8월,150.4
2020년 9월,613.8
2020년 10월,0.6
2020년 11월,7.7
2020년 12월,0.9
2021년 1월,11.4
2021년 2월,5.1
2021년 3월,122
2021년 4월,108.1
2021년 5월,157.5
2021년 6월,32.5
2021년 7월,142.2
2021년 8월,438.1
2021년 9월,111.6
2021년 10월,130.9
2021년 11월,13.1
2021년 12월,43.9
2022년 1월,7.4
2022년 2월,1.2
2022년 3월,102.9
2022년 4월,68.8
2022년 5월,5.8
2022년 6월,186
2022년 7월,227.9
2022년 8월,307.5
2022년 9월,202.5
2022년 10월,293.2
2022년 11월,62.3
2023년 1월,77.9
2023년 2월,38.5
2023년 3월,8.8
2023년 4월,33.4
2023년 5월,91.1
2023년 6월,160
2023년 7월,104.7
2023년 8월,520.8
2023년 9월,236.8
2023년 10월,26.1
2023년 11월,41
2023년 12월,229.2
2024년 1월,46.8
2024년 2월,175.3
2024년 3월,66
2024년 4월,41.9
2024년 5월,76.8
2024년 6월,93.8
2024년 7월,115.7
2024년 8월,87.2
2024년 9월,479.5
2024년 10월,167.4
2024년 11월,32.9
2024년 12월,16.9
2025년 1월,16.5
2025년 3월,119.8
2025년 4월,26.2
2025년 5월,53.8
2025년 6월,18.6
2025년 7월,128.2
2025년 8월,41.1
2025년 9월,325.6
